country_text_id,year,years_since_break_poly,years_since_break_libdem,break_in_last_3yr_poly,break_in_last_3yr_libdem
AFG,1789,99,99,0,0
AFG,1790,99,99,0,0
AFG,1791,99,99,0,0
AFG,1792,99,99,0,0
AFG,1793,99,99,0,0
AFG,1794,99,99,0,0
AFG,1795,99,99,0,0
AFG,1796,99,99,0,0
AFG,1797,99,99,0,0
AFG,1798,99,99,0,0
AFG,1799,99,99,0,0
AFG,1800,99,99,0,0
AFG,1801,99,99,0,0
AFG,1802,99,99,0,0
AFG,1803,99,99,0,0
AFG,1804,99,99,0,0
AFG,1805,99,99,0,0
AFG,1806,99,99,0,0
AFG,1807,99,99,0,0
AFG,1808,99,99,0,0
AFG,1809,99,99,0,0
AFG,1810,99,99,0,0
AFG,1811,99,99,0,0
AFG,1812,99,99,0,0
AFG,1813,99,99,0,0
AFG,1814,99,99,0,0
AFG,1815,99,99,0,0
AFG,1816,99,99,0,0
AFG,1817,99,99,0,0
AFG,1818,99,99,0,0
AFG,1819,99,99,0,0
AFG,1820,99,99,0,0
AFG,1821,99,99,0,0
AFG,1822,99,99,0,0
AFG,1823,99,99,0,0
AFG,1824,99,99,0,0
AFG,1825,99,99,0,0
AFG,1826,99,99,0,0
AFG,1827,99,99,0,0
AFG,1828,99,99,0,0
AFG,1829,99,99,0,0
AFG,1830,99,99,0,0
AFG,1831,99,99,0,0
AFG,1832,99,99,0,0
AFG,1833,99,99,0,0
AFG,1834,99,99,0,0
AFG,1835,99,99,0,0
AFG,1836,99,99,0,0
AFG,1837,99,99,0,0
AFG,1838,99,99,0,0
AFG,1839,99,99,0,0
AFG,1840,99,99,0,0
AFG,1841,99,99,0,0
AFG,1842,99,99,0,0
AFG,1843,99,99,0,0
AFG,1844,99,99,0,0
AFG,1845,99,99,0,0
AFG,1846,99,99,0,0
AFG,1847,99,99,0,0
AFG,1848,99,99,0,0
AFG,1849,99,99,0,0
AFG,1850,99,99,0,0
AFG,1851,99,99,0,0
AFG,1852,99,99,0,0
AFG,1853,99,99,0,0
AFG,1854,99,99,0,0
AFG,1855,99,99,0,0
AFG,1856,99,99,0,0
AFG,1857,99,99,0,0
AFG,1858,99,99,0,0
AFG,1859,99,99,0,0
AFG,1860,99,99,0,0
AFG,1861,99,99,0,0
AFG,1862,99,99,0,0
AFG,1863,99,99,0,0
AFG,1864,99,99,0,0
AFG,1865,99,99,0,0
AFG,1866,99,99,0,0
AFG,1867,99,99,0,0
AFG,1868,99,99,0,0
AFG,1869,99,99,0,0
AFG,1870,99,99,0,0
AFG,1871,99,99,0,0
AFG,1872,99,99,0,0
AFG,1873,99,99,0,0
AFG,1874,99,99,0,0
AFG,1875,99,99,0,0
AFG,1876,99,99,0,0
AFG,1877,99,99,0,0
AFG,1878,99,99,0,0
AFG,1879,99,99,0,0
AFG,1880,99,99,0,0
AFG,1881,99,99,0,0
AFG,1882,99,99,0,0
AFG,1883,99,99,0,0
AFG,1884,99,99,0,0
AFG,1885,99,99,0,0
AFG,1886,99,99,0,0
AFG,1887,99,99,0,0
AFG,1888,99,99,0,0
AFG,1889,99,99,0,0
AFG,1890,99,99,0,0
AFG,1891,99,99,0,0
AFG,1892,99,99,0,0
AFG,1893,99,99,0,0
AFG,1894,99,99,0,0
AFG,1895,99,99,0,0
AFG,1896,99,99,0,0
AFG,1897,99,99,0,0
AFG,1898,99,99,0,0
AFG,1899,99,99,0,0
AFG,1900,99,99,0,0
AFG,1901,99,99,0,0
AFG,1902,99,99,0,0
AFG,1903,99,99,0,0
AFG,1904,99,99,0,0
AFG,1905,99,99,0,0
AFG,1906,99,99,0,0
AFG,1907,99,99,0,0
AFG,1908,99,99,0,0
AFG,1909,99,99,0,0
AFG,1910,99,99,0,0
AFG,1911,99,99,0,0
AFG,1912,99,99,0,0
AFG,1913,99,99,0,0
AFG,1914,99,99,0,0
AFG,1915,99,99,0,0
AFG,1916,99,99,0,0
AFG,1917,99,99,0,0
AFG,1918,99,99,0,0
AFG,1919,99,99,0,0
AFG,1920,99,99,0,0
AFG,1921,99,99,0,0
AFG,1922,99,99,0,0
AFG,1923,99,0,0,1
AFG,1924,0,1,1,1
AFG,1925,1,2,1,1
AFG,1926,2,3,1,0
AFG,1927,3,4,0,0
