country_text_id,year,global_exposure_polyarchy,global_exposure_libdem,pagerank,n_backsliding_neighbors
AFG,1970,0.005065899399490221,,0.0037642113502845418,16
AGO,1970,0.0050745715226728026,,0.004907911832297479,16
ALB,1970,0.005069663610840505,,0.006636199236198669,16
ARG,1970,0.005085385842280093,,0.007861115719794035,16
AUS,1970,0.005063059703009912,,0.006603907830592886,16
AUT,1970,0.005069663610840505,,0.005119633424086679,16
BDI,1970,0.005057970537632756,,0.0038976910692497158,16
BEL,1970,0.005061366352800207,,0.008297258040298655,16
BEN,1970,0.005244307022292754,,0.004851205873673579,16
BFA,1970,0.005069663610840505,,0.006687895630095483,16
BGR,1970,0.005069663610840505,,0.007164721232255793,16
BHR,1970,0.005069663610840505,,0.001654229068044796,16
BOL,1970,0.004936024643604007,,0.007861115719794035,15
BRA,1970,0.005013024001916345,,0.009439934820693397,16
BRB,1970,0.005179719230917622,,0.007861115719794035,16
BTN,1970,0.005069663610840505,,0.002836406826007439,16
BWA,1970,0.005102918229171738,,0.005542436388538704,16
CAF,1970,0.005069663610840505,,0.0055770419720829805,16
CAN,1970,0.005054200063784007,,0.007731773528249591,16
CHE,1970,0.005069663610840505,,0.003918564723541807,16
CHL,1970,0.005093246957999887,,0.007861115719794035,16
CHN,1970,0.005032587932980261,,0.018537838930122362,16
CIV,1970,0.005069663610840505,,0.005736146675589471,16
CMR,1970,0.005069663610840505,,0.006589575725167869,16
COD,1970,0.005069663610840505,,0.009136016739573757,16
COG,1970,0.005069663610840505,,0.006872329464457632,16
COL,1970,0.005069663610840505,,0.007861115719794035,16
COM,1970,0.005069663610840505,,0.0010228435049437438,16
CPV,1970,0.005069663610840505,,0.0010228435049437438,16
CRI,1970,0.005069663610840505,,0.008419683740405184,16
CUB,1970,0.005069663610840505,,0.0010228435049437438,16
CYP,1970,0.005069663610840505,,0.0026778489041298006,16
CZE,1970,0.004912198105199932,,0.008748083646698556,15
DDR,1970,0.005069663610840505,,0.0054906356194517345,16
DEU,1970,0.005061042682728625,,0.008620928111879436,16
DJI,1970,0.005069663610840505,,0.00438876855025096,16
DNK,1970,0.005069663610840505,,0.00904028225639296,16
DOM,1970,0.005069663610840505,,0.007861115719794035,16
DZA,1970,0.005069663610840505,,0.010758976278848639,16
ECU,1970,0.005879358529979291,,0.007861115719794035,16
EGY,1970,0.005050527818810637,,0.00956789601493406,16
ERI,1970,0.005069663610840505,,0.003359693466352513,16
ESP,1970,0.005069663610840505,,0.003995404840525507,16
ETH,1970,0.005069663610840505,,0.007516086955409057,16
FIN,1970,0.00505495283213835,,0.0029421557404311653,16
FJI,1970,0.005069663610840505,,0.0010228435049437438,16
