year,COWcode,pol_cat_pitf,regime_imputed
1970,2,D/fact,0
1971,2,D/fact,0
1972,2,D/fact,0
1973,2,D/fact,0
1974,2,D/F,0
1975,2,D/F,0
1976,2,D/F,0
1977,2,D/F,0
1978,2,D/F,0
1979,2,D/F,0
1980,2,D/F,0
1981,2,D/F,0
1982,2,D/F,0
1983,2,D/F,0
1984,2,D/F,0
1985,2,D/F,0
1986,2,D/F,0
1987,2,D/F,0
1988,2,D/F,0
1989,2,D/F,0
1990,2,D/F,0
1991,2,D/F,0
1992,2,D/F,0
1993,2,D/F,0
1994,2,D/F,0
1995,2,D/F,0
1996,2,D/F,0
1997,2,D/F,0
1998,2,D/F,0
1999,2,D/F,0
2000,2,D/F,0
2001,2,D/F,0
2002,2,D/F,0
2003,2,D/F,0
2004,2,D/F,0
2005,2,D/F,0
2006,2,D/F,0
2007,2,D/F,0
2008,2,D/F,0
2009,2,D/F,0
2010,2,D/F,0
2011,2,D/F,0
2012,2,D/F,0
2013,2,D/F,0
2014,2,D/F,0
2015,2,D/F,0
2016,2,D/fact,0
2017,2,D/fact,0
2018,2,D/fact,0
2019,2,D/fact,0
2020,2,D/fact,0
2021,2,D/fact,1
2022,2,D/fact,1
2023,2,D/fact,1
2024,2,D/fact,1
2025,2,D/fact,1
1970,20,D/F,0
1971,20,D/F,0
1972,20,D/F,0
1973,20,D/F,0
1974,20,D/F,0
1975,20,D/F,0
1976,20,D/F,0
1977,20,D/F,0
1978,20,D/F,0
1979,20,D/F,0
1980,20,D/F,0
1981,20,D/F,0
1982,20,D/F,0
1983,20,D/F,0
1984,20,D/F,0
1985,20,D/F,0
1986,20,D/F,0
1987,20,D/F,0
1988,20,D/F,0
1989,20,D/F,0
1990,20,D/F,0
1991,20,D/F,0
1992,20,D/F,0
1993,20,D/F,0
1994,20,D/F,0
1995,20,D/F,0
1996,20,D/F,0
1997,20,D/F,0
1998,20,D/F,0
1999,20,D/F,0
2000,20,D/F,0
2001,20,D/F,0
2002,20,D/F,0
2003,20,D/F,0
2004,20,D/F,0
2005,20,D/F,0
2006,20,D/F,0
2007,20,D/F,0
2008,20,D/F,0
2009,20,D/F,0
2010,20,D/F,0
2011,20,D/F,0
2012,20,D/F,0
2013,20,D/F,0
2014,20,D/F,0
2015,20,D/F,0
2016,20,D/F,0
2017,20,D/F,0
2018,20,D/F,0
2019,20,D/F,1
2020,20,D/F,1
2021,20,D/F,1
2022,20,D/F,1
2023,20,D/F,1
2024,20,D/F,1
2025,20,D/F,1
1970,40,A/F,0
1971,40,A/F,0
1972,40,A/F,0
1973,40,A/F,0
1974,40,A/F,0
1975,40,A/F,0
1976,40,A/F,0
1977,40,A/F,0
1978,40,A/F,0
1979,40,A/F,0
1980,40,A/F,0
1981,40,A/F,0
1982,40,A/F,0
1983,40,A/F,0
1984,40,A/F,0
1985,40,A/F,0
1986,40,A/F,0
1987,40,A/F,0
1988,40,A/F,0
1989,40,A/F,0
1990,40,A/F,0
1991,40,A/F,0
1992,40,A/F,0
1993,40,A/F,0
1994,40,A/F,0
1995,40,A/F,0
1996,40,A/F,0
1997,40,A/F,0
1998,40,A/F,0
1999,40,A/F,0
2000,40,A/F,0
2001,40,A/F,0
2002,40,A/F,0
2003,40,A/F,0
2004,40,A/F,0
2005,40,A/F,0
2006,40,A/F,0
2007,40,A/F,0
2008,40,A/F,0
2009,40,A/F,0
2010,40,A/F,0
2011,40,A/F,0
2012,40,A/F,0
2013,40,A/F,0
2014,40,A/F,0
2015,40,A/F,0
2016,40,A/F,0
2017,40,A/F,0
2018,40,A/F,0
2019,40,A/F,1
2020,40,A/F,1
2021,40,A/F,1
2022,40,A/F,1
2023,40,A/F,1
2024,40,A/F,1
2025,40,A/F,1
1970,41,A/F,0
1971,41,A/F,0
1972,41,A/F,0
1973,41,A/F,0
1974,41,A/F,0
1975,41,A/F,0
1976,41,A/F,0
1977,41,A/F,0
1978,41,A/F,0
1979,41,A/F,0
1980,41,A/F,0
1981,41,A/F,0
1982,41,A/F,0
1983,41,A/F,0
1984,41,A/F,0
1985,41,A/F,0
1986,41,transition,0
1987,41,transition,0
1988,41,transition,0
1989,41,transition,0
1990,41,transition,0
1991,41,A/F,0
1992,41,A/F,0
1993,41,A/F,0
1994,41,D/fact,0
1995,41,D/fact,0
1996,41,D/fact,0
1997,41,D/fact,0
1998,41,D/fact,0
1999,41,transition,0
2000,41,A/P,0
2001,41,A/P,0
2002,41,A/P,0
2003,41,A/P,0
2004,41,transition,0
2005,41,transition,0
2006,41,D/fact,0
2007,41,D/fact,0
2008,41,D/fact,0
2009,41,D/fact,0
2010,41,transition,0
2011,41,transition,0
2012,41,transition,0
2013,41,transition,0
2014,41,transition,0
2015,41,transition,0
2016,41,transition,0
2017,41,D/P,0
2018,41,D/P,0
2019,41,D/P,1
2020,41,D/P,1
2021,41,D/P,1
2022,41,D/P,1
2023,41,D/P,1
2024,41,D/P,1
2025,41,D/P,1
1970,42,A/P,0
1971,42,A/P,0
1972,42,A/P,0
