model,auc_roc,auc_pr,brier,n,n_positive,cv_auc_mean,cv_auc_std,n_features
logistic_polyarchy_gdp,0.6036110805424111,0.06413854326202634,0.04818191746086763,6382,324,0.6159365624082787,0.07349379324381031,
xgboost_vdem_indices,0.9520062751404591,0.8011706720585126,0.02572620225651308,6358,324,0.7208111808358534,0.038789308883524075,
random_forest_vdem_indices,0.8675304959140999,0.25295823886996277,0.14155172903617447,6358,324,0.7063460500225958,0.04943696722189633,
aim4d_full,0.9851409293432424,0.8697361578825399,0.03808360594485747,3580,274,0.9775041731035351,0.0348840707195712,
full_meta_learner,0.6566329301734073,0.12806953790909528,0.07084788556742966,3580,274,0.6336539902872599,0.04595905761754738,71.0
without_CSD (univariate + multivariate),0.6978375967605902,0.1303226945325634,0.06993444178597089,3580,274,0.6845640481146341,0.03751663520315709,48.0
without_Election vulnerability,0.6213244223067107,0.12389627721606614,0.07091564179317912,3580,274,0.6003421800802601,0.028570476353912373,53.0
without_Military threat,0.6516022626412495,0.12365628870762718,0.07086465049189193,3580,274,0.630798177658376,0.0543318237432581,62.0
without_Network exposure,0.6871205196479747,0.14042782355531122,0.0691323551313744,3580,274,0.6657660189526776,0.019591189778964995,67.0
without_DSP (digital),0.6423799241370478,0.14110241047918898,0.07088373161766051,3580,274,0.6266592521422286,0.07374169689034907,51.0
