metric,point,ci_low,ci_high,n
auc_roc_in_sample,0.992552819340131,0.9754625078210556,0.9971756368730903,3383
auc_pr_in_sample,0.9508054592472072,0.9050627276859105,0.97294923724553,3383
brier_in_sample,0.03549702672968645,0.028936268061689946,0.043083961491477744,3383
logloss_in_sample,0.1605593999652783,0.1424984333075713,0.18008928166520008,3383
bss_in_sample,0.5231028925371495,0.47254841944719167,0.5705232218680069,3383
auc_roc_oos_2019,0.9369229933746063,0.7817162062551535,0.9787478283274724,736
auc_pr_oos_2019,0.66048308143566,0.43152517387199846,0.8191138371650105,736
brier_oos_2019,0.0524162674976402,0.03844042012564218,0.07349495654560699,736
logloss_oos_2019,0.21495254125366484,0.18229773603571192,0.2727178285764882,736
bss_oos_2019,0.22901915829255692,0.02527987001172091,0.34672191567194294,736
in_sample_watch_all,1.0,0.9229381729480993,1.0,46
in_sample_watch_backsliding,1.0,0.8911188393206471,1.0,32
in_sample_watch_coup,1.0,0.7683642383498834,1.0,14
loeo_watch_all,0.6521739130434783,0.4975099493270364,0.7864564457484946,46
loeo_watch_backsliding,0.65625,0.4680689637197313,0.8142809082834338,32
loeo_watch_coup,0.6428571428571429,0.3513801106159917,0.8724015701408404,14
auc_fh_3yr_decline_2pt,0.7669433489975678,0.719709196036265,0.8305528371771984,3249
auc_polity_3yr_decline_3pt,0.7462201771006535,0.6993640603299063,0.7836536409376371,2417
