bin,mean_predicted,observed_freq,n,n_positive
"(0.012299999999999998, 0.0366]",0.027757137022685285,0.0,358,0
"(0.0366, 0.0541]",0.045061522661436954,0.0,358,0
"(0.0541, 0.0702]",0.0622944184541119,0.0,358,0
"(0.0702, 0.0832]",0.07654695550938108,0.0,358,0
"(0.0832, 0.0983]",0.09099844948693844,0.0,358,0
"(0.0983, 0.114]",0.10575617842748597,0.002793296089385475,358,1
"(0.114, 0.134]",0.12280089761249359,0.002793296089385475,358,1
"(0.134, 0.172]",0.14976497251024484,0.008379888268156424,358,3
"(0.172, 0.271]",0.2093195778710795,0.05307262569832402,358,19
"(0.271, 0.77]",0.4647767029159162,0.6983240223463687,358,250
