h,learner,seed,n_scored,n_pos,contrib_mob,contrib_dsp,contrast_mean,contrast_lo,contrast_hi,contrast_p_gt0
2,gb,0,1169,92,0.0239,0.0464,-0.0226,-0.0579,0.0141,0.111
2,gb,1,1169,92,0.008,0.0308,-0.0226,-0.0562,0.0122,0.114
2,gb,2,1169,92,0.0095,0.02,-0.0102,-0.0503,0.03,0.281
2,rf,0,1169,92,0.0002,0.0126,-0.0123,-0.0488,0.0235,0.255
2,rf,1,1169,92,0.0023,0.0049,-0.0031,-0.034,0.0276,0.427
2,rf,2,1169,92,0.0056,0.0062,-0.0002,-0.0351,0.0315,0.508
2,lr,0,1169,92,0.0144,-0.0051,0.0195,-0.0196,0.0597,0.831
2,lr,1,1169,92,0.0144,-0.0051,0.0199,-0.0211,0.063,0.823
2,lr,2,1169,92,0.0144,-0.0051,0.0198,-0.0193,0.0619,0.82
5,gb,0,1002,179,-0.0028,0.0177,-0.0203,-0.0685,0.0261,0.189
5,gb,1,1002,179,-0.0097,0.0039,-0.0134,-0.0628,0.0361,0.295
5,gb,2,1002,179,-0.0036,0.0099,-0.0137,-0.0613,0.0355,0.295
5,rf,0,1002,179,-0.0048,-0.0016,-0.003,-0.0416,0.0326,0.448
5,rf,1,1002,179,0.0028,-0.006,0.0087,-0.0316,0.0475,0.684
5,rf,2,1002,179,0.0,-0.0054,0.0058,-0.0352,0.0422,0.623
5,lr,0,1002,179,0.0179,0.0105,0.0075,-0.049,0.0632,0.594
5,lr,1,1002,179,0.0179,0.0105,0.0084,-0.0498,0.0647,0.623
5,lr,2,1002,179,0.0179,0.0105,0.0083,-0.0501,0.0624,0.617
