h,learner,seed,n_scored,n_pos,contrib_mob,contrib_dsp,contrast_mean,contrast_lo,contrast_hi,contrast_p_gt0
2,gb,0,1207,54,-0.0081,-0.022,0.0129,-0.0401,0.0668,0.676
2,gb,1,1207,54,-0.0066,-0.0067,-0.0001,-0.0535,0.0514,0.513
2,gb,2,1207,54,-0.0015,-0.0179,0.0158,-0.0344,0.0686,0.725
2,rf,0,1207,54,0.0049,0.0201,-0.0158,-0.0714,0.041,0.282
2,rf,1,1207,54,-0.0108,0.0107,-0.0213,-0.0847,0.0375,0.249
2,rf,2,1207,54,0.0043,0.0256,-0.0217,-0.0717,0.0253,0.198
2,lr,0,1207,54,-0.0056,0.0094,-0.0139,-0.0709,0.0393,0.321
2,lr,1,1207,54,-0.0056,0.0094,-0.0159,-0.072,0.0368,0.267
2,lr,2,1207,54,-0.0056,0.0094,-0.0142,-0.0684,0.0371,0.309
5,gb,0,933,107,0.0137,0.0083,0.0057,-0.0462,0.0524,0.602
5,gb,1,933,107,-0.0081,0.0076,-0.0154,-0.0583,0.0285,0.247
5,gb,2,933,107,0.0018,0.0066,-0.0043,-0.0506,0.044,0.419
5,rf,0,933,107,0.0119,0.0101,0.0024,-0.0276,0.0357,0.554
5,rf,1,933,107,0.0034,0.0025,0.0018,-0.0339,0.037,0.543
5,rf,2,933,107,0.0068,0.0012,0.005,-0.0349,0.0433,0.609
5,lr,0,933,107,-0.0142,0.0123,-0.0271,-0.0811,0.026,0.165
5,lr,1,933,107,-0.0142,0.0123,-0.026,-0.0811,0.023,0.17
5,lr,2,933,107,-0.0142,0.0123,-0.0259,-0.0799,0.0254,0.172
