kind,perm,mean_contrast
observed,-1,-0.1914
placebo,0,-0.3231
placebo,1,-0.3206
placebo,2,-0.3879
placebo,3,-0.2788
placebo,4,-0.26
placebo,5,-0.3778
placebo,6,-0.2928
placebo,7,-0.3155
placebo,8,-0.3093
placebo,9,-0.3176
placebo,10,-0.3043
placebo,11,-0.2879
placebo,12,-0.2843
placebo,13,-0.3142
placebo,14,-0.2651
placebo,15,-0.2979
placebo,16,-0.3015
placebo,17,-0.2784
placebo,18,-0.2989
placebo,19,-0.2928
placebo,20,-0.2489
placebo,21,-0.3327
placebo,22,-0.3147
placebo,23,-0.2296
placebo,24,-0.2487
placebo,25,-0.2527
placebo,26,-0.2598
placebo,27,-0.3146
placebo,28,-0.2452
placebo,29,-0.3497
placebo,30,-0.3606
placebo,31,-0.3256
placebo,32,-0.2534
placebo,33,-0.305
placebo,34,-0.3695
placebo,35,-0.3819
placebo,36,-0.3305
placebo,37,-0.3108
placebo,38,-0.2978
placebo,39,-0.3304
placebo,40,-0.3217
placebo,41,-0.2887
placebo,42,-0.2617
placebo,43,-0.3201
placebo,44,-0.3415
placebo,45,-0.314
placebo,46,-0.3079
placebo,47,-0.2324
placebo,48,-0.3025
placebo,49,-0.3079
