risk_set,label,origin,closure,learner,n,n_pos,auc,ap
at-risk,future-only,rolling,enforced,gb,933,107,0.6649,0.2141
at-risk,future-only,rolling,enforced,rf,933,107,0.7001,0.2248
at-risk,future-only,rolling,enforced,lr,933,107,0.614,0.167
at-risk,future-only,rolling,none,gb,1151,123,0.8863,0.6732
at-risk,future-only,rolling,none,rf,1151,123,0.8925,0.6579
at-risk,future-only,rolling,none,lr,1151,123,0.7776,0.3055
at-risk,future-only,fixed-2019,enforced,gb,70,10,0.6278,0.2298
at-risk,future-only,fixed-2019,enforced,rf,70,10,0.7122,0.2367
at-risk,future-only,fixed-2019,enforced,lr,70,10,0.4483,0.1373
at-risk,future-only,fixed-2019,none,gb,70,10,0.9206,0.7413
at-risk,future-only,fixed-2019,none,rf,70,10,0.9472,0.8002
at-risk,future-only,fixed-2019,none,lr,70,10,0.75,0.2709
at-risk,window,rolling,enforced,gb,933,107,0.6649,0.2141
at-risk,window,rolling,enforced,rf,933,107,0.7001,0.2248
at-risk,window,rolling,enforced,lr,933,107,0.614,0.167
at-risk,window,rolling,none,gb,1151,123,0.8863,0.6732
at-risk,window,rolling,none,rf,1151,123,0.8925,0.6579
at-risk,window,rolling,none,lr,1151,123,0.7776,0.3055
at-risk,window,fixed-2019,enforced,gb,70,10,0.6278,0.2298
at-risk,window,fixed-2019,enforced,rf,70,10,0.7122,0.2367
at-risk,window,fixed-2019,enforced,lr,70,10,0.4483,0.1373
at-risk,window,fixed-2019,none,gb,70,10,0.9206,0.7413
at-risk,window,fixed-2019,none,rf,70,10,0.9472,0.8002
at-risk,window,fixed-2019,none,lr,70,10,0.75,0.2709
all,future-only,rolling,enforced,gb,1932,175,0.5823,0.1143
all,future-only,rolling,enforced,rf,1932,175,0.5717,0.111
all,future-only,rolling,enforced,lr,1932,175,0.5938,0.1264
all,future-only,rolling,none,gb,2208,191,0.8302,0.4171
all,future-only,rolling,none,rf,2208,191,0.845,0.5014
all,future-only,rolling,none,lr,2208,191,0.718,0.1909
all,future-only,fixed-2019,enforced,gb,138,16,0.6228,0.1837
all,future-only,fixed-2019,enforced,rf,138,16,0.665,0.1866
all,future-only,fixed-2019,enforced,lr,138,16,0.4903,0.1544
all,future-only,fixed-2019,none,gb,138,16,0.8979,0.6005
all,future-only,fixed-2019,none,rf,138,16,0.9577,0.8052
all,future-only,fixed-2019,none,lr,138,16,0.6906,0.2595
all,window,rolling,enforced,gb,1932,203,0.6247,0.1579
all,window,rolling,enforced,rf,1932,203,0.6061,0.1427
all,window,rolling,enforced,lr,1932,203,0.5974,0.1459
all,window,rolling,none,gb,2208,220,0.8482,0.4696
all,window,rolling,none,rf,2208,220,0.8568,0.5278
all,window,rolling,none,lr,2208,220,0.7298,0.2403
all,window,fixed-2019,enforced,gb,138,19,0.6783,0.2254
all,window,fixed-2019,enforced,rf,138,19,0.6876,0.2059
all,window,fixed-2019,enforced,lr,138,19,0.5502,0.1923
all,window,fixed-2019,none,gb,138,19,0.9263,0.7005
all,window,fixed-2019,none,rf,138,19,0.9512,0.7856
all,window,fixed-2019,none,lr,138,19,0.7399,0.355
