risk_set,label,origin,closure,learner,n,n_pos,auc,ap
at-risk,future-only,rolling,enforced,gb,1002,179,0.6909,0.313
at-risk,future-only,rolling,enforced,rf,1002,179,0.7196,0.3349
at-risk,future-only,rolling,enforced,lr,1002,179,0.5827,0.2235
at-risk,future-only,rolling,none,gb,1002,179,0.8881,0.6855
at-risk,future-only,rolling,none,rf,1002,179,0.9012,0.7048
at-risk,future-only,rolling,none,lr,1002,179,0.7597,0.4101
at-risk,future-only,fixed-2019,enforced,gb,55,7,0.8056,0.4161
at-risk,future-only,fixed-2019,enforced,rf,55,7,0.7788,0.3452
at-risk,future-only,fixed-2019,enforced,lr,55,7,0.8274,0.3877
at-risk,future-only,fixed-2019,none,gb,55,7,0.8105,0.5661
at-risk,future-only,fixed-2019,none,rf,55,7,0.9177,0.7644
at-risk,future-only,fixed-2019,none,lr,55,7,0.8869,0.6249
at-risk,window,rolling,enforced,gb,1002,179,0.6909,0.313
at-risk,window,rolling,enforced,rf,1002,179,0.7196,0.3349
at-risk,window,rolling,enforced,lr,1002,179,0.5827,0.2235
at-risk,window,rolling,none,gb,1002,179,0.8881,0.6855
at-risk,window,rolling,none,rf,1002,179,0.9012,0.7048
at-risk,window,rolling,none,lr,1002,179,0.7597,0.4101
at-risk,window,fixed-2019,enforced,gb,55,7,0.8056,0.4161
at-risk,window,fixed-2019,enforced,rf,55,7,0.7788,0.3452
at-risk,window,fixed-2019,enforced,lr,55,7,0.8274,0.3877
at-risk,window,fixed-2019,none,gb,55,7,0.8105,0.5661
at-risk,window,fixed-2019,none,rf,55,7,0.9177,0.7644
at-risk,window,fixed-2019,none,lr,55,7,0.8869,0.6249
all,future-only,rolling,enforced,gb,2208,310,0.6497,0.2182
all,future-only,rolling,enforced,rf,2208,310,0.6486,0.2168
all,future-only,rolling,enforced,lr,2208,310,0.5785,0.16
all,future-only,rolling,none,gb,2208,310,0.8415,0.4566
all,future-only,rolling,none,rf,2208,310,0.8557,0.4904
all,future-only,rolling,none,lr,2208,310,0.7451,0.2952
all,future-only,fixed-2019,enforced,gb,138,9,0.7735,0.2184
all,future-only,fixed-2019,enforced,rf,138,9,0.7738,0.2023
all,future-only,fixed-2019,enforced,lr,138,9,0.7898,0.1564
all,future-only,fixed-2019,none,gb,138,9,0.8788,0.4184
all,future-only,fixed-2019,none,rf,138,9,0.9251,0.4512
all,future-only,fixed-2019,none,lr,138,9,0.8699,0.2633
all,window,rolling,enforced,gb,2208,371,0.6798,0.2718
all,window,rolling,enforced,rf,2208,371,0.6819,0.271
all,window,rolling,enforced,lr,2208,371,0.6079,0.2041
all,window,rolling,none,gb,2208,371,0.8604,0.5528
all,window,rolling,none,rf,2208,371,0.8748,0.5929
all,window,rolling,none,lr,2208,371,0.7547,0.3583
all,window,fixed-2019,enforced,gb,138,15,0.764,0.2769
all,window,fixed-2019,enforced,rf,138,15,0.7491,0.2707
all,window,fixed-2019,enforced,lr,138,15,0.7588,0.252
all,window,fixed-2019,none,gb,138,15,0.8853,0.494
all,window,fixed-2019,none,rf,138,15,0.9158,0.6331
all,window,fixed-2019,none,lr,138,15,0.8472,0.5181
