country,type,onset,watch_lead,warning_lead,alert_lead,max_risk
Hungary,backsliding,2010,5.0,4.0,,0.6064964399431663
Türkiye,backsliding,2013,5.0,5.0,5.0,0.7151062683745669
Poland,backsliding,2015,5.0,,,0.4377859295916686
Venezuela,backsliding,2002,2.0,,,0.3126953943237822
Tunisia,backsliding,2021,5.0,5.0,5.0,0.7283287880515096
Burma/Myanmar,coup,2021,5.0,5.0,5.0,0.7541840343002516
Mali,coup,2020,5.0,5.0,4.0,0.769973710558153
Burkina Faso,coup,2022,5.0,5.0,4.0,0.6967326373262237
Nicaragua,backsliding,2007,5.0,,,0.2958938231886277
Philippines,backsliding,2016,5.0,,,0.4470578652549034
India,backsliding,2014,5.0,5.0,,0.4857852506712652
Brazil,backsliding,2019,5.0,3.0,3.0,0.7685172501483752
El Salvador,backsliding,2019,,,,
Russia,backsliding,2000,,,,
Serbia,backsliding,2012,5.0,,,0.389351407401672
Bangladesh,backsliding,2007,5.0,1.0,,0.5164931957319583
Thailand,coup,2014,5.0,5.0,4.0,0.714396379370522
Egypt,coup,2013,5.0,2.0,2.0,0.7165281239577466
Fiji,coup,2006,5.0,5.0,,0.4984946301292391
Honduras,coup,2009,,,,
Niger,coup,2009,5.0,,,0.3995135724176957
Guinea,coup,2009,5.0,,,0.312841220421114
Guinea-Bissau,coup,2012,5.0,4.0,,0.4783316509257747
Libya,coup,2014,,,,
Afghanistan,coup,2021,5.0,5.0,,0.6325474529127901
Sudan,coup,2021,5.0,5.0,2.0,0.6917593762446921
Chad,coup,2021,5.0,5.0,5.0,0.7686784318156233
Ukraine,backsliding,2010,5.0,4.0,,0.5438150671674763
Maldives,backsliding,2013,5.0,3.0,,0.6262876052304168
Zambia,backsliding,2013,5.0,,,0.4496919440462307
Montenegro,backsliding,2007,,,,
North Macedonia,backsliding,2011,5.0,5.0,,0.6244139630176672
Kenya,backsliding,2007,5.0,,,0.3584619063136184
Bolivia,backsliding,2019,5.0,5.0,3.0,0.691894306513064
Benin,backsliding,2019,5.0,3.0,2.0,0.6377600884843876
Ivory Coast,backsliding,2020,5.0,4.0,4.0,0.753870211998981
Nigeria,backsliding,2021,5.0,5.0,4.0,0.7249135156593696
Guyana,backsliding,2021,5.0,5.0,5.0,0.7553095309530425
Mauritius,backsliding,2017,5.0,4.0,2.0,0.6978770237648894
Belarus,backsliding,1996,,,,
Georgia,backsliding,2024,5.0,5.0,,0.4964738560390105
Greece,backsliding,2020,5.0,5.0,4.0,0.6899742912747422
Botswana,backsliding,2021,5.0,5.0,5.0,0.7084293322524008
Slovenia,backsliding,2021,,,,
South Korea,backsliding,2024,5.0,5.0,,0.5342909695976054
Indonesia,backsliding,2024,5.0,5.0,,0.5700831121947135
Mexico,backsliding,2024,5.0,5.0,,0.5985888562362658
Mongolia,backsliding,2024,5.0,5.0,,0.5554768574104725
Gabon,coup,2023,5.0,5.0,,0.5499639129935142
Haiti,coup,2022,5.0,5.0,3.0,0.6736783067988641
Cambodia,backsliding,2017,5.0,3.0,,0.5859625997201002
Tajikistan,backsliding,2016,5.0,3.0,,0.5838953932045702
Saudi Arabia,backsliding,2017,,,,
Uganda,backsliding,2017,5.0,2.0,,0.611893836530115
