tier,config,n_dropped,n_kept,phi,score_r,K_selected,phi_no_procrustes
leave_component_out,electoral,41,291,0.9999890902942074,0.9986840166336987,20.0,
leave_component_out,liberal,36,296,0.9999428726449486,0.9976031095358588,20.0,
leave_component_out,participatory,7,325,0.9999987513561989,0.9999146026638549,20.0,
leave_component_out,deliberative,10,322,0.9999970383589375,0.9997268228700483,20.0,
leave_component_out,egalitarian,29,303,0.9999510040291437,0.9962207846191231,20.0,
leave_component_out,accountability,52,280,0.9999838995570679,0.998445295646325,20.0,
drop_top_loaders,top5,5,327,0.9999983865793788,0.9998957652853474,20.0,0.99999431373177
drop_top_loaders,top10,10,322,0.9999905964324277,0.9991176033986837,20.0,0.9999140756443015
random_bootstrap,drop20pct_x200,66,266,0.9999824214991336,,,
leave_one_indicator_out,all_332,1,331,0.9999953167163573,,,
sequential_family_ablation,thru_liberal,36,296,0.9999428726449486,0.9976031095358588,20.0,0.9999247940429339
sequential_family_ablation,thru_accountability,88,244,0.9999569165125387,0.9960957108202516,20.0,0.9997406157578685
sequential_family_ablation,thru_electoral,129,203,0.9999287816530865,0.9919026660454774,20.0,0.999039857256738
sequential_family_ablation,thru_egalitarian,157,175,0.9999187946231269,0.9944812042126818,20.0,0.9998380711763387
sequential_family_ablation,thru_deliberative,167,165,0.9998959546254479,0.994018164814683,20.0,0.9998598136527125
sequential_family_ablation,thru_participatory,173,159,0.9998703764334294,0.9935857011944161,20.0,0.9998468881796428
split_half_reliability,halves_x200,166,166,,0.9798819580977656,,
