experiment,N,T,alpha_true,alpha_hat_mean,bias,rmse,ci_coverage
recovery,50,15,0.0,-0.0004538794437506746,-0.0004538794437506746,0.01490681848344798,0.957
recovery,50,15,0.1,0.09947291141245033,-0.0005270885875496706,0.014752991576522488,0.955
recovery,50,15,0.2,0.19940382004260163,-0.000596179957398385,0.014416210006629475,0.958
recovery,50,15,0.3,0.29934201905812236,-0.0006579809418776339,0.01389068024270453,0.959
recovery,50,15,0.5,0.4992650201601542,-0.000734979839845773,0.012236170183351778,0.952
recovery,138,30,0.0,0.0001557925312624434,0.0001557925312624434,0.007041877492313661,0.946
recovery,138,30,0.1,0.1001276056603589,0.00012760566035889542,0.006925971023249871,0.947
recovery,138,30,0.2,0.20009467465333242,9.467465333240499e-05,0.006740500242364195,0.947
recovery,138,30,0.3,0.30005801009837724,5.801009837724802e-05,0.00648136982880522,0.947
recovery,138,30,0.5,0.49997815327724515,-2.1846722754848003e-05,0.005709993737190276,0.946
recovery,138,60,0.0,0.00011238506889629403,0.00011238506889629403,0.005142078144878385,0.938
recovery,138,60,0.1,0.10010616579634267,0.00010616579634266377,0.005022433051725478,0.936
recovery,138,60,0.2,0.20009568349465903,9.568349465902126e-05,0.00485298999062565,0.936
recovery,138,60,0.3,0.3000806067898835,8.060678988353054e-05,0.004632729105845252,0.941
recovery,138,60,0.5,0.5000370636045361,3.706360453614721e-05,0.0040272481285873706,0.94
reflection,138,30,0.3,0.22167064468755152,-0.07832935531244847,,
confounder,138,30,0.3,0.2946583576608944,-0.005341642339105612,,
learned_W_partial_id,138,30,0.3,,,,
