csd_threshold,risk_percentile,risk_threshold,detection_rate,detections,precision,f1,n_alerts
1.0,90,0.25551431375523653,1.0,46/46,0.08485599256735832,0.15643733942335145,3229
1.0,92,0.3318601250726326,1.0,46/46,0.0835144365104005,0.15415472779369627,3221
1.0,94,0.4133191630929469,1.0,46/46,0.08037383177570094,0.14878892733564014,3210
1.0,95,0.4604240946648055,1.0,46/46,0.07951356407857811,0.14731369150779897,3207
1.0,96,0.4950797264717457,1.0,46/46,0.07836403371838901,0.1453387376954256,3203
1.0,98,0.635876546199796,0.9782608695652174,45/46,0.0772116286339481,0.14312663777950901,3199
1.5,90,0.25551431375523653,1.0,46/46,0.10688836104513064,0.19313304721030045,2526
1.5,92,0.3318601250726326,1.0,46/46,0.10354440461967343,0.18765788523998556,2511
1.5,94,0.4133191630929469,1.0,46/46,0.09743384121892543,0.17756667884545121,2494
1.5,95,0.4604240946648055,0.9782608695652174,45/46,0.09420289855072464,0.1718566392479436,2484
1.5,96,0.4950797264717457,0.9782608695652174,45/46,0.09200968523002422,0.16819947867997836,2478
1.5,98,0.635876546199796,0.9347826086956522,43/46,0.08806818181818182,0.1609708972346335,2464
2.0,90,0.25551431375523653,1.0,46/46,0.13098729227761485,0.23163353500432154,2046
2.0,92,0.3318601250726326,0.9565217391304348,44/46,0.12270243417784402,0.2175035523445474,2013
2.0,94,0.4133191630929469,0.9565217391304348,44/46,0.11211664152840624,0.20070775461779206,1989
2.0,95,0.4604240946648055,0.9347826086956522,43/46,0.10728744939271255,0.1924831081081081,1976
2.0,96,0.4950797264717457,0.9347826086956522,43/46,0.10365853658536585,0.18662241511360733,1968
2.0,98,0.635876546199796,0.8260869565217391,38/46,0.0959958932238193,0.1720039696947692,1948
2.5,90,0.25551431375523653,1.0,46/46,0.14927048260381592,0.25976562499999994,1782
2.5,92,0.3318601250726326,0.9565217391304348,44/46,0.13917525773195877,0.24299447739824098,1746
2.5,94,0.4133191630929469,0.9565217391304348,44/46,0.12427071178529756,0.21996385570446175,1714
2.5,95,0.4604240946648055,0.9130434782608695,42/46,0.11719670200235571,0.2077295886665838,1698
2.5,96,0.4950797264717457,0.9130434782608695,42/46,0.1114404267931239,0.19863651228899903,1687
2.5,98,0.635876546199796,0.8043478260869565,37/46,0.1015015015015015,0.18025627351215784,1665
3.0,90,0.25551431375523653,1.0,46/46,0.17468688200395519,0.2974186307519641,1517
3.0,92,0.3318601250726326,0.9565217391304348,44/46,0.1619241192411924,0.27696278543021935,1476
3.0,94,0.4133191630929469,0.9347826086956522,43/46,0.14265831593597772,0.24753934934920876,1437
3.0,95,0.4604240946648055,0.8913043478260869,41/46,0.13267466478475654,0.2309686118810398,1417
3.0,96,0.4950797264717457,0.8913043478260869,41/46,0.12276945039257674,0.21581258702737444,1401
3.0,98,0.635876546199796,0.717391304347826,33/46,0.10510948905109489,0.18335455492533861,1370
