,tv,tv,tv,tv,signed,signed,signed,signed
,mean,std,min,max,mean,std,min,max
country,,,,,,,,
Hungary,0.2914,0.0941,0.173,0.4391,-0.3871,0.2009,-0.6575,-0.0291
United States of America,0.2512,0.1811,0.0136,0.493,0.2093,0.2048,-0.1179,0.454
Türkiye,0.2276,0.049,0.1522,0.3052,0.1475,0.0786,0.0488,0.2646
Poland,0.1894,0.0828,0.0497,0.2911,0.0915,0.1319,-0.203,0.2387
Tunisia,0.1551,0.0545,0.0985,0.279,-0.0596,0.0673,-0.2188,0.0033
Ukraine,0.1308,0.0468,0.0535,0.1902,-0.0474,0.0902,-0.1304,0.151
Serbia,0.1293,0.0592,0.0721,0.261,-0.0478,0.1091,-0.1916,0.2342
Argentina,0.0637,0.0185,0.0409,0.0955,-0.0117,0.0326,-0.101,0.0116
Brazil,0.0151,0.0048,0.0082,0.0234,0.0092,0.0043,0.0021,0.0175
Denmark,0.0013,0.0007,0.0004,0.003,-0.0017,0.0009,-0.0038,-0.0004
