h,learner,seed,block,d_auc_mean,d_auc_lo,d_auc_hi,d_auc_p_gt0,d_ap_mean,d_ap_lo,d_ap_hi,d_ap_p_gt0
2,gb,0,mob,0.0043,-0.0213,0.0326,0.617,0.0032,-0.0079,0.0146,0.73
2,gb,0,dsp,0.0009,-0.0391,0.0457,0.503,-0.0094,-0.0331,0.0098,0.189
2,gb,1,mob,-0.0064,-0.0331,0.0189,0.308,0.0024,-0.014,0.0224,0.597
2,gb,1,dsp,0.0015,-0.0395,0.0415,0.522,-0.0016,-0.0276,0.0211,0.46
2,gb,2,mob,0.0055,-0.0145,0.029,0.685,0.0085,-0.0098,0.0358,0.81
2,gb,2,dsp,-0.0024,-0.0522,0.0466,0.468,0.0006,-0.0363,0.0345,0.529
2,rf,0,mob,0.0174,-0.0093,0.0469,0.894,0.0317,-0.0053,0.079,0.949
2,rf,0,dsp,0.039,-0.0126,0.0924,0.931,0.0164,-0.0206,0.0528,0.843
2,rf,1,mob,-0.0132,-0.0385,0.0094,0.141,0.0194,-0.029,0.0778,0.743
2,rf,1,dsp,0.014,-0.0423,0.0749,0.685,0.0225,-0.0206,0.0665,0.857
2,rf,2,mob,0.0078,-0.0126,0.0289,0.777,0.0105,-0.0211,0.0503,0.701
2,rf,2,dsp,0.0237,-0.0179,0.0684,0.855,-0.0057,-0.0591,0.0415,0.435
2,lr,0,mob,-0.007,-0.0347,0.0197,0.304,-0.0019,-0.0139,0.0103,0.349
2,lr,0,dsp,0.0057,-0.0402,0.0516,0.592,0.0039,-0.0092,0.0232,0.664
2,lr,1,mob,-0.0065,-0.034,0.0197,0.315,-0.0018,-0.0139,0.0102,0.359
2,lr,1,dsp,0.0063,-0.0405,0.0554,0.601,0.0036,-0.0099,0.021,0.657
2,lr,2,mob,-0.006,-0.0317,0.0192,0.323,-0.0015,-0.012,0.0097,0.386
2,lr,2,dsp,0.0069,-0.0361,0.0544,0.617,0.0039,-0.0093,0.023,0.677
5,gb,0,mob,-0.008,-0.0373,0.0194,0.285,0.0052,-0.0255,0.0406,0.61
5,gb,0,dsp,0.0111,-0.0321,0.0548,0.701,0.0266,-0.0094,0.0815,0.898
5,gb,1,mob,0.0029,-0.0231,0.0287,0.59,0.0039,-0.0299,0.0338,0.622
5,gb,1,dsp,0.0168,-0.0194,0.0595,0.797,0.0259,-0.0069,0.0714,0.932
5,gb,2,mob,-0.0017,-0.0273,0.0232,0.454,0.0006,-0.0388,0.0355,0.527
5,gb,2,dsp,0.0113,-0.0244,0.0489,0.723,0.017,-0.0123,0.0584,0.829
5,rf,0,mob,0.0128,-0.0094,0.0366,0.883,0.0129,-0.0097,0.0392,0.881
5,rf,0,dsp,0.011,-0.0164,0.041,0.775,0.0207,-0.0105,0.0667,0.879
5,rf,1,mob,0.0093,-0.006,0.0269,0.869,0.0146,-0.0021,0.0384,0.949
5,rf,1,dsp,0.0084,-0.0203,0.0396,0.713,0.0166,-0.0173,0.0622,0.802
5,rf,2,mob,0.0116,-0.0063,0.0316,0.887,0.0127,-0.0065,0.0394,0.896
5,rf,2,dsp,0.0161,-0.0183,0.0492,0.821,0.0237,-0.0063,0.0663,0.929
5,lr,0,mob,-0.011,-0.051,0.029,0.289,0.0052,-0.0198,0.0371,0.608
5,lr,0,dsp,0.011,-0.0178,0.0384,0.781,0.0047,-0.0127,0.0245,0.703
5,lr,1,mob,-0.0097,-0.0518,0.0321,0.318,0.0054,-0.0188,0.0374,0.607
5,lr,1,dsp,0.0097,-0.0147,0.0361,0.753,0.0037,-0.013,0.0219,0.668
5,lr,2,mob,-0.0101,-0.0511,0.0281,0.316,0.005,-0.0194,0.0358,0.625
5,lr,2,dsp,0.0104,-0.0142,0.0371,0.78,0.0043,-0.0117,0.0223,0.706
