h,learner,seed,block,d_auc_mean,d_auc_lo,d_auc_hi,d_auc_p_gt0,d_ap_mean,d_ap_lo,d_ap_hi,d_ap_p_gt0
2,gb,0,mob,0.0196,-0.002,0.0429,0.96,0.0086,-0.0276,0.0359,0.765
2,gb,0,dsp,0.0339,-0.0029,0.0693,0.962,0.0177,-0.0076,0.0498,0.905
2,gb,1,mob,0.0219,0.0037,0.043,0.992,0.0043,-0.0263,0.0241,0.709
2,gb,1,dsp,0.0381,-0.0031,0.0781,0.968,0.0103,-0.0187,0.0393,0.777
2,gb,2,mob,0.0216,0.0036,0.0403,0.993,0.0075,-0.0151,0.0331,0.742
2,gb,2,dsp,0.0332,-0.0009,0.0694,0.972,0.022,-0.0001,0.0491,0.975
2,rf,0,mob,0.0058,-0.0161,0.0299,0.682,0.0008,-0.0158,0.0174,0.548
2,rf,0,dsp,0.0133,-0.0158,0.0454,0.805,-0.009,-0.0379,0.015,0.265
2,rf,1,mob,0.0017,-0.0145,0.0195,0.571,0.0148,-0.0031,0.0437,0.942
2,rf,1,dsp,0.0043,-0.0243,0.0337,0.612,0.0004,-0.0248,0.0268,0.51
2,rf,2,mob,0.0047,-0.0103,0.0215,0.718,0.0103,-0.0027,0.0285,0.931
2,rf,2,dsp,0.0116,-0.0162,0.0385,0.803,-0.0009,-0.0333,0.0192,0.535
2,lr,0,mob,0.0182,-0.0149,0.0515,0.858,0.0075,-0.0097,0.0254,0.828
2,lr,0,dsp,-0.0019,-0.0354,0.0323,0.452,-0.0058,-0.0259,0.0136,0.272
2,lr,1,mob,0.0183,-0.0152,0.0519,0.864,0.0073,-0.0087,0.0252,0.821
2,lr,1,dsp,-0.0015,-0.0349,0.0325,0.453,-0.0055,-0.029,0.0159,0.272
2,lr,2,mob,0.0183,-0.013,0.0508,0.872,0.0075,-0.0096,0.0257,0.834
2,lr,2,dsp,-0.0019,-0.0333,0.0332,0.436,-0.0058,-0.0285,0.0147,0.263
5,gb,0,mob,-0.0029,-0.0234,0.0164,0.398,0.0079,-0.012,0.0324,0.749
5,gb,0,dsp,0.0181,-0.0243,0.0619,0.793,0.0033,-0.0543,0.0677,0.53
5,gb,1,mob,-0.0117,-0.0362,0.0107,0.168,-0.0013,-0.0267,0.0251,0.457
5,gb,1,dsp,0.0014,-0.0469,0.0503,0.517,-0.0155,-0.0669,0.0377,0.274
5,gb,2,mob,-0.0076,-0.0316,0.0129,0.265,0.0034,-0.0183,0.025,0.622
5,gb,2,dsp,0.0017,-0.0448,0.0467,0.544,-0.0168,-0.0704,0.036,0.259
5,rf,0,mob,-0.0047,-0.0206,0.01,0.281,-0.0056,-0.0268,0.0141,0.29
5,rf,0,dsp,-0.0041,-0.0439,0.0351,0.417,-0.0254,-0.0777,0.022,0.159
5,rf,1,mob,-0.0006,-0.0113,0.0098,0.453,0.0095,-0.0086,0.0275,0.861
5,rf,1,dsp,-0.0057,-0.0424,0.0339,0.38,-0.0205,-0.0708,0.0244,0.18
5,rf,2,mob,-0.0003,-0.0138,0.0155,0.463,0.0087,-0.0116,0.0286,0.79
5,rf,2,dsp,-0.0072,-0.0423,0.0318,0.334,-0.0213,-0.0693,0.0231,0.175
5,lr,0,mob,0.0203,-0.0079,0.0479,0.915,0.0197,-0.0001,0.0456,0.974
5,lr,0,dsp,0.0096,-0.0271,0.0429,0.695,-0.0067,-0.0333,0.017,0.306
5,lr,1,mob,0.0206,-0.0084,0.0519,0.913,0.0204,-0.0007,0.048,0.97
5,lr,1,dsp,0.0098,-0.0254,0.0451,0.72,-0.0063,-0.0332,0.0188,0.311
5,lr,2,mob,0.0207,-0.0083,0.0502,0.918,0.02,-0.0005,0.0482,0.973
5,lr,2,dsp,0.01,-0.0247,0.0439,0.709,-0.0066,-0.0328,0.0175,0.291
