h,learner,seed,config,n_scored,n_pos,auc_roc,auc_pr
2,gb,0,full,1169,92,0.6666666666666667,0.15231415674307797
2,gb,0,ablate_mob,1169,92,0.6427980299543821,0.14997893486864422
2,gb,0,ablate_dsp,1169,92,0.6203019660086391,0.12797442703154618
2,gb,1,full,1169,92,0.6558980259174034,0.13989660791212866
2,gb,1,ablate_mob,1169,92,0.647945177828913,0.14831259931577512
2,gb,1,ablate_dsp,1169,92,0.6250656009042832,0.13094638131091324
2,gb,2,full,1169,92,0.6591175164506884,0.1462689056961765
2,gb,2,ablate_mob,1169,92,0.649650801340277,0.15312457145006755
2,gb,2,ablate_dsp,1169,92,0.6391142868677082,0.1298649128032816
2,rf,0,full,1169,92,0.6706027209236607,0.15040925352018936
2,rf,0,ablate_mob,1169,92,0.670380687093779,0.1373489635999964
2,rf,0,ablate_dsp,1169,92,0.6579568850672157,0.1567144082866383
2,rf,1,full,1169,92,0.6665960195389771,0.14780466817922017
2,rf,1,ablate_mob,1169,92,0.6642848492188447,0.13480772857712908
2,rf,1,ablate_dsp,1169,92,0.6616608130475152,0.14565971621574972
2,rf,2,full,1169,92,0.6694723668806266,0.14787011384324905
2,rf,2,ablate_mob,1169,92,0.6639215211335836,0.1406259302009138
2,rf,2,ablate_dsp,1169,92,0.6632655120907512,0.14864492328026496
2,lr,0,full,1169,92,0.5752492834362763,0.13204588811103146
2,lr,0,ablate_mob,1169,92,0.5608877316216543,0.12189056111796842
2,lr,0,ablate_dsp,1169,92,0.5803156917363046,0.13190564879553027
2,lr,1,full,1169,92,0.5752492834362763,0.13204588811103146
2,lr,1,ablate_mob,1169,92,0.5608877316216543,0.12189056111796842
2,lr,1,ablate_dsp,1169,92,0.5803156917363046,0.13190564879553027
2,lr,2,full,1169,92,0.5752492834362763,0.13204588811103146
2,lr,2,ablate_mob,1169,92,0.5608877316216543,0.12189056111796842
2,lr,2,ablate_dsp,1169,92,0.5803156917363046,0.13190564879553027
5,gb,0,full,1002,179,0.6880808053381484,0.3080069673950403
5,gb,0,ablate_mob,1002,179,0.6908842835517964,0.3020648185304931
5,gb,0,ablate_dsp,1002,179,0.6703842733696722,0.3075959996697928
5,gb,1,full,1002,179,0.6842455385325522,0.30807848079376027
5,gb,1,ablate_mob,1002,179,0.6938981923335392,0.3043165865487152
5,gb,1,ablate_dsp,1002,179,0.6803491789813803,0.32787815447698887
5,gb,2,full,1002,179,0.6897031571373298,0.3085348917573936
5,gb,2,ablate_mob,1002,179,0.6933144172091475,0.3024792548587941
5,gb,2,ablate_dsp,1002,179,0.6797857681055139,0.32017192954240514
5,rf,0,full,1002,179,0.7158576403266426,0.3296916167519788
5,rf,0,ablate_mob,1002,179,0.7206636029786108,0.3321219051408662
5,rf,0,ablate_dsp,1002,179,0.7174799921258239,0.3489136234220138
5,rf,1,full,1002,179,0.7192448936646825,0.34108222943826016
5,rf,1,ablate_mob,1002,179,0.716475355865243,0.32414423454740965
5,rf,1,ablate_dsp,1002,179,0.7252048303997503,0.35974786753091087
5,rf,2,full,1002,179,0.7185049926349302,0.3369914178684063
5,rf,2,ablate_mob,1002,179,0.718477840303563,0.32279508749429625
5,rf,2,ablate_dsp,1002,179,0.7239150946598152,0.34964943579328894
5,lr,0,full,1002,179,0.6086602360895214,0.24105025881287473
5,lr,0,ablate_mob,1002,179,0.5907329093044252,0.2228032563499035
5,lr,0,ablate_dsp,1002,179,0.5981930123475228,0.2447224720670333
5,lr,1,full,1002,179,0.6086602360895214,0.24105025881287473
5,lr,1,ablate_mob,1002,179,0.5907329093044252,0.2228032563499035
5,lr,1,ablate_dsp,1002,179,0.5981930123475228,0.2447224720670333
5,lr,2,full,1002,179,0.6086602360895214,0.24105025881287473
5,lr,2,ablate_mob,1002,179,0.5907329093044252,0.2228032563499035
5,lr,2,ablate_dsp,1002,179,0.5981930123475228,0.2447224720670333
