feature,mean_delta_auc,std_delta_auc,mean_delta_auc_pr,std_delta_auc_pr,rank
f1_rolling_mean,0.014535136309329899,0.001735782299851655,0.0557140628655076,0.013781756681440289,1
f1_change,0.01313402845660917,0.004609411651049531,0.0248811079742312,0.02396693826205677,2
v2cademmob,0.00855870533289892,0.0027911935697211366,0.022319252879056874,0.01052673865403003,3
network_exposure,0.007806560225915094,0.0021132779779981627,0.006574969741039105,0.011535803656637889,4
v2cagenmob_detrended,0.007697947214076306,0.005040702361415791,0.02327780285274379,0.011046287615677285,5
v2smgovdom,0.006932225480612631,0.0011004458546136626,0.028236286158273782,0.010058053813373323,6
party_threat,0.005818942109264769,0.0012443874973995246,0.027078284393850217,0.005864207663606285,7
libdem_c22_5,0.004629629629629673,0.0013259297923862163,0.0208807714245285,0.008994854713252912,8
network_exposure_detrended,0.004165309004018703,0.0014090768068819278,0.005511131431041372,0.00927579538906869,9
v2exl_legitratio,0.004091995221027556,0.0006374495618854152,0.010993836764467435,0.002660346328257703,10
v2smfordom_x_post2015,0.003706419028999719,0.0008767179478094484,0.009718667255934964,0.0059244024940579895,11
v2smgovdom_x_post2015,0.0034403171499946205,0.0004894369138416099,0.013640619218374317,0.007123385862204177,12
v2caautmob,0.003182361246877441,0.0016315969729174679,0.013935011977446576,0.003949129803665478,13
youth_bulge_proxy,0.0029841425002715915,0.0004248131993882548,0.009164830777852694,0.003672629560008017,14
libdem_c22_1_detrended,0.0028429455848811404,0.0011915194750674193,0.00944321677410508,0.004613381716905472,15
v2smgovdom_x_post2015_detrended,0.002644726838275291,0.0003389507212236438,0.012085733918024522,0.004277008501122479,16
work_age_share,0.0026094276094276283,0.00105525318529387,0.011083512695811416,0.0041659479339080175,17
libdem_c22_1,0.0025958509829478115,0.0006130999014891618,0.008457206389602756,0.003689097705415979,18
poly_c22_14,0.0024845226458130253,0.00046615281060851467,0.008900239524989884,0.003273692749514278,19
ext_debt_gni,0.0024573693928533367,0.002948188398040053,0.02702439514306567,0.021306910536433084,20
v2cagenmob,0.0023786249592701925,0.000833309498568744,0.0074814734963482895,0.004577007962024297,21
v2caconmob,0.0023161724774628523,0.00036922433851209924,0.0016062523310634736,0.0037658099868215643,22
v2cademmob_detrended,0.0020908004778973253,0.0011534363217895012,0.005283526414798822,0.003451203001315162,23
v2smfordom_x_post2015_detrended,0.002090800477897303,0.0005862979161037307,0.006650301968397066,0.002470500460583595,24
years_since_break_libdem_detrended,0.0020337786466819163,0.0008486278509814816,0.0025533705765431237,0.0054609314253357185,25
ext_debt_gni_detrended,0.0020066253937222277,0.004220144136254879,0.024577475000874472,0.020828318262763122,26
factor_1,0.0019604648636907364,0.0004347913305365003,0.007744719231578723,0.002582898195501325,27
poly_c22_0,0.0018382752253720547,0.0003558929630106888,0.008418099519578438,0.0026617875055797396,28
var_trend,0.0017079396111654877,0.0006638154343556636,0.013965421353896123,0.009119148584380225,29
v2exl_legitratio_detrended,0.0016536331052460663,0.00026215352877139293,0.004771842374419866,0.002318579379523517,30
pagerank,0.0015776039969588873,0.0005384368268751871,0.006452075627024156,0.0039013456131860016,31
csd_index_lag2,0.0015477354187032112,0.0005939332289389291,0.0073432498661922365,0.0023634980749341655,32
csd_index_x_post2015_detrended,0.0015097208645596383,0.001011148316706453,0.010437895697008481,0.005409055891082918,33
years_since_break_poly_detrended,0.0013305093950255586,0.00046821321300375345,0.009068865382448988,0.0027110429025336766,34
poly_c22_10,0.0013250787444336499,0.0005755521820104888,0.004897965687501349,0.00531235749726454,35
libdem_c22_12,0.0013196480938416967,0.0007606358079326616,0.005479416998968934,0.0054458916353569906,36
mil_zscore_x_post2015_detrended,0.001300640816769938,0.0011743725226661802,0.010119649508921146,0.005268621158014208,37
poly_c22_0_detrended,0.0012816335396981348,0.0004978590046975756,0.004599242340696363,0.0031633352544939678,38
poly_c22_1_detrended,0.0012680569132182517,0.00038015631638353134,0.003978154085646457,0.001181664425280778,39
v2exl_legitperf,0.0012436189855545398,0.00034956407878821555,0.005536918529014357,0.002783856464582736,40
libdem_c22_14,0.0012300423590746457,0.0008719206008398369,0.012566466847273083,0.00482615060211023,41
poly_c22_1,0.0011811665037472108,0.0004173816045823293,0.005302371430919184,0.0011578647817251902,42
v2caconmob_detrended,0.001173020527859292,0.00033667113838811583,0.0032300877640782932,0.0019000674286792358,43
mil_zscore_x_post2015,0.0011567285760834766,0.0007589106167617373,0.011375595237388403,0.0035380824958067443,44
mv_csd_index_pctile_lag3,0.0011241446725318016,0.00033701162795989515,0.006324504048278912,0.0020592825836626854,45
csd_x_network,0.0010752688172043778,0.0015035809907158384,-0.016117259225191704,0.009997962505683711,46
v2caautmob_detrended,0.0010073856848050622,0.00043055961493903487,0.009665953365380953,0.0027595368921772136,47
v2smpardom_detrended,0.0009748017812534427,0.00028520252499175767,0.002543098925200382,0.0011713411405077183,48
libdem_c22_0_detrended,0.0008960573476702982,0.0004021371400659217,0.005345284474883227,0.0014274360117906074,49
v2exl_legitperf_detrended,0.0008824807211904373,0.0004961199770932704,0.0046906664614336235,0.004582822274775737,50
v2smgovsmmon,0.0008716194200065752,0.00029757289438029185,0.002884114783853342,0.0014324970569263623,51
csd_index_x_post2015,0.0008689040947106097,0.000751730559822104,0.0032119048792539906,0.005496846317823829,52
v2smgovfilprc_x_post2015,0.0008553274682307598,0.0005918952421506398,0.007409844700846236,0.0038815709893691105,53
mv_csd_index_lag2,0.0008471814923428633,0.0004379827090652811,0.003831813827438457,0.0021559788348615824,54
poly_c22_5,0.0008091669381992461,0.00035166694964363016,0.007118294949662063,0.005040339114800416,55
v2smgovdom_detrended,0.0007847290105354899,0.0003338979232225543,0.003910017522753095,0.0011510840399038549,56
csd_index_detrended,0.0007439991310959626,0.0014014399203399971,0.00018475651220051237,0.008814677033689251,57
xcorr_z,0.0007385684805039982,0.0007964748492394917,-0.00436099560966875,0.0029267482727336736,58
v2smpardom_x_post2015_detrended,0.0007195612034322285,0.0003392044042837479,0.004014581606411738,0.002360103326631565,59
years_since_break_poly,0.0007168458781362741,0.00017135019827233165,0.00555582056622198,0.0010742549674015742,60
ar1_z,0.0006978386010644489,0.00026851380652546806,0.00310689663324949,0.0010205005194095578,61
inflation_yoy,0.000670685348104727,0.0002766287388767469,0.0039165881753626345,0.0013943439678391829,62
dom_eig_z,0.0006353861192571308,0.0017084362214158618,0.01096149590830342,0.0063576278639712784,63
poly_c22_10_detrended,0.0006299554686652109,0.0007487604896372295,0.004193393064107698,0.005598658419445882,64
work_age_share_detrended,0.0006109481915934301,0.0004507857993895505,0.006295526684004338,0.0022975372776925865,65
v2smpardom,0.0006109481915933856,0.0005232826298672594,0.0018694770559668505,0.0036491827057390787,66
mil_zscore_lag2,0.0006109481915933634,0.0002294231174764998,0.001324089174928955,0.0018864756927456073,67
v2smgovfilprc_x_post2015_detrended,0.0006055175410014768,0.00040579757049337856,0.007903369094868462,0.0017267351797405535,68
mv_csd_index_pctile,0.0005810796133377428,0.00032664258552959094,0.0033860806437392087,0.005074241205448247,69
csd_x_network_detrended,0.0005729336374498461,0.0011337688954485327,-0.013390468194939642,0.007507249268752646,70
libdem_c22_14_detrended,0.0005647876615619163,0.0001278735962669579,0.002589844606655434,0.0005546389103665202,71
party_threat_detrended,0.0005620723362659286,0.0005263732772134712,0.002911076949750091,0.0023599182374909318,72
infant_mortality,0.0005349190833062401,0.0005164752064875293,0.009949777653996138,0.004119594602269714,73
v2smfordom_detrended,0.0005322037580102745,0.0009835493118233844,0.010738347124433967,0.00564763964504228,74
