perm_seed,model,critical slowing down,digital control,election vulnerability,executive legitimation,latent factor dynamics,military threat,mobilization,network exposure,structural / macro
42,0,0.02040566959921806,0.04678777017486703,0.01212392744650822,0.012145650048875934,0.11998750950363857,0.0037390029325514275,0.06917291191484745,0.01120343217117421,0.11445639187574679
42,1,0.02754969045291621,0.05110242207016393,0.008159552514391145,0.016666666666666618,0.163136743781905,0.003000434452047296,0.06862984685565324,0.009677419354838623,0.11252308026501567
42,2,0.017052242858694534,0.07047626805691329,0.004572607798414318,0.00454545454545463,0.15098566308243733,0.008716194200065242,0.0765966112740307,0.009118062343868893,0.08531823612468782
42,3,0.017608884544368385,0.07278157923319212,0.006133919843597268,0.01778266536331049,0.1343570109699142,0.011523840556098596,0.0666720973172586,0.003641251221896391,0.12678668404474852
42,4,0.00916422287390034,0.06186597154339092,0.0019251656348430956,0.011806234386879578,0.12308298034104488,0.007157597480178158,0.0710301944172912,0.011255023351797544,0.1005892255892256
42,5,0.022613229064842023,0.07088356685130884,0.005110242207016424,0.020058107961333827,0.13332790268274147,0.0134598674921256,0.0666748126425546,0.0022700119474313605,0.08425654393396333
137,0,0.02358260019550351,0.0441539046377757,0.01013630932985784,0.013736830672314626,0.1217443249701315,0.003698273053111856,0.074826219181058,0.012520364939719841,0.12875801020962316
137,1,0.02804931030737475,0.050496904529162535,0.008629303790594045,0.015803193222547973,0.16561040512653408,0.0036303899207124624,0.06491528185076564,0.008376778538068796,0.106888780275877
137,2,0.016693819919626474,0.06273216031280555,0.0045943304007821095,0.01069023569023575,0.1419626371239275,0.00900944933203004,0.06586564570435544,0.008634734441186098,0.10170793961116549
137,3,0.019110459433040038,0.0742722928206799,0.0075160204192462055,0.021502661018790024,0.137680569132182,0.013829151732377521,0.05618551102422067,0.003282828282828276,0.11248235038557616
137,4,0.01150483327902685,0.06865156945802108,0.0011784511784511786,0.010141739980449682,0.11644129466710114,0.00751602041924625,0.08382480721190397,0.011024220701640053,0.0928424025198219
137,5,0.017350928641251272,0.07144020853698278,0.00378787878787884,0.01488269794721414,0.142741935483871,0.01070924296730753,0.0607309655696753,0.003157923319213696,0.08821277289019229
271,0,0.019381991962637225,0.04662213533181281,0.012751167589877344,0.009123492994460835,0.11995764092538294,0.003353426740523591,0.06799717606169227,0.01367166286521132,0.1274628000434453
271,1,0.027033778646681793,0.05954708374063207,0.009943521233843755,0.01789670902574122,0.1497773433257304,0.002536113826436326,0.0663326816552622,0.014250027153252909,0.11722873900293244
271,2,0.014138698816118223,0.06361192570869997,0.00617193439774093,0.011016074725752245,0.14261703052025645,0.009272835885739173,0.0678858477245575,0.01110839578581525,0.09646464646464654
271,3,0.016419572064733344,0.0732594764852829,0.0069838166612360645,0.017839687194525868,0.13293146518952964,0.012908656457043522,0.0665797762571956,0.005759204952753327,0.12819865319865312
271,4,0.010768980123818838,0.060953622243944836,0.00020364939719778042,0.01077441077441078,0.12043553817747368,0.007274356467904863,0.06215651135005974,0.015387748452264594,0.0990197675681547
271,5,0.01852937981970244,0.0707939611165418,0.004140871076355001,0.017283045508852003,0.13677093515803196,0.012569240795047298,0.07764472683827527,0.0024329314651895585,0.08718366460301949
314,0,0.020685348104703037,0.044460736396220356,0.012254263060714754,0.008287172803301901,0.1128000434452048,0.003923645052677416,0.06698164440099932,0.009435755403497425,0.13112034321711752
314,1,0.031345715216682855,0.05712229825133045,0.00911534701857275,0.021024763766699196,0.1524329314651894,0.001998479417834209,0.06546106223525572,0.011806234386879477,0.11131747583360478
314,2,0.016058433800369344,0.06265341587922243,0.005221570544151244,0.00860215053763449,0.13969262517649622,0.008767785380688686,0.08975507765830357,0.010912892364505345,0.09481915933528845
314,3,0.0179102856522211,0.07548061257738672,0.0076192027804931175,0.018301292494840825,0.14126208319756706,0.01313674378190507,0.05997338981209945,0.00458075377430216,0.11208591289236444
314,4,0.009183230150972088,0.06197729988052571,-0.0011132833713478729,0.010043988269794735,0.12733789507983057,0.007874443358314364,0.0701232757684371,0.010741826870859117,0.101838275225372
314,5,0.02039209297273815,0.07484522645812976,0.006011730205278653,0.017823395242750117,0.13038992071250138,0.012077766916476673,0.06005213424568264,0.0027967850548496044,0.08241012273270344
999,0,0.023392527424785557,0.04778429455848819,0.014575866188769526,0.00855599000760302,0.11842076680786366,0.0033479960899316374,0.06998479417834269,0.01069023569023576,0.12506245248180742
999,1,0.028065602259150602,0.055145541435863976,0.010052134245682553,0.023058542413381046,0.14915281850765716,0.003475616378842095,0.06852666449440635,0.014475399152818435,0.10457532312371018
999,2,0.01522482893450644,0.06499674160964489,0.0053138916042142605,0.011016074725752256,0.14930759204952765,0.009221244705115738,0.08781362007168465,0.015697295536005296,0.08676821983273605
999,3,0.018225263386553704,0.08015640273704787,0.006552079939176747,0.01886608015640272,0.13313511458672744,0.011423373520147707,0.05630227001194741,0.003901922450309536,0.12255892255892253
999,4,0.01030465949820789,0.061914847398718366,-0.0007168458781362074,0.014765938959487346,0.11787227109807756,0.006617247746280008,0.06701422830455092,0.011667752796785058,0.09192190724448787
999,5,0.01950418160095583,0.0711822526338656,0.004716520039100736,0.018274139241881215,0.14077603996958843,0.010348104702943483,0.06147224937547524,0.003071032909742655,0.08401759530791794
