country,onset,type,full_pipeline_max_risk,full_pipeline_tier,meta_only_max_risk,meta_only_tier,delta_risk,tier_breakdown
Venezuela,2002,backsliding,0.1560028850295751,watch,0.0843116819274452,watch,0.0716912031021299,{'watch': 2}
Bangladesh,2007,backsliding,0.2501473724057297,watch,0.1090878412095126,warning,0.14105953119621711,"{'none': 3, 'watch': 2}"
Fiji,2006,coup,0.1445752941748407,watch,0.0741786580613776,watch,0.07039663611346308,"{'none': 4, 'watch': 1}"
Niger,2009,coup,0.1412493219494361,watch,0.120656871670783,warning,0.0205924502786531,"{'none': 4, 'watch': 1}"
Hungary,2010,backsliding,0.208771330222215,watch,0.0767509196094614,watch,0.1320204106127536,"{'none': 4, 'watch': 1}"
Türkiye,2013,backsliding,0.3380770745354075,watch,0.234239804890454,alert,0.10383726964495346,{'watch': 5}
Poland,2015,backsliding,0.0409112170676453,none,0.0196400043001295,none,0.0212712127675158,{'none': 5}
Thailand,2014,coup,0.3068863644869995,watch,0.246196188347734,alert,0.06069017613926553,{'watch': 5}
Egypt,2013,coup,0.2932428807623601,watch,0.3016449621054566,alert,-0.008402081343096501,"{'none': 3, 'watch': 2}"
Tunisia,2021,backsliding,0.2646047739182518,watch,0.1744331003178663,alert,0.09017167360038553,{'watch': 5}
Nigeria,2021,backsliding,0.3252945941253953,watch,0.1139179015553539,warning,0.21137669257004138,{'watch': 5}
Brazil,2019,backsliding,0.2762154219845951,watch,0.2569733589537791,alert,0.019242063030815992,"{'watch': 3, 'none': 2}"
Burma/Myanmar,2021,coup,0.3102872220348621,watch,0.1437565247424987,alert,0.1665306972923634,{'watch': 5}
Mali,2020,coup,0.2662758429672893,watch,0.0948781639114335,watch,0.1713976790558558,{'watch': 5}
Sudan,2021,coup,0.1794802092050031,watch,0.055818501595241,watch,0.1236617076097621,"{'none': 3, 'watch': 2}"
