sample,n,y0,y1,param,value
full panel,5647,1972,2024,SEM,"{'lambda': 0.054110578693501006, 'beta_ylag': np.float64(-0.015478217078456653), 'se_ylag': np.float64(0.0032453657935662484)}"
full panel,5647,1972,2024,SDEM,"{'lambda': 0.052663775136279095, 'theta': array([ 0.00505263,  0.00045782, -0.00079787, -0.00683565]), 'se_theta': array([0.00575288, 0.00370173, 0.00467179, 0.00387527]), 'beta': array([-0.02375102, -0.01668713,  0.00167922,  0.00278933, -0.00208743,
       -0.00783274,  0.03585563,  0.0353527 ,  0.02041141,  0.02078971,
        0.03007531,  0.04821925,  0.05294946,  0.00792349,  0.02034978,
        0.03804069,  0.04318922,  0.05537148,  0.05549788,  0.04309751,
        0.04592028,  0.04134432,  0.2165019 ,  0.11805987,  0.09643968,
        0.05547879,  0.04174928,  0.03717208,  0.0417248 ,  0.03105757,
        0.04077571,  0.03769204,  0.05806779,  0.03112992,  0.03578957,
        0.04127773,  0.03414578,  0.03391415,  0.03126752,  0.02865854,
        0.03370749,  0.03151267,  0.04280254,  0.04347395,  0.02739267,
       -0.00177775,  0.01569681,  0.01872161,  0.01032335,  0.02641395,
        0.02474925,  0.03503126,  0.00270798,  0.00312026,  0.00782772,
        0.00305262,  0.00160028]), 'V': array([[ 8.45176108e-05,  2.00435715e-06, -1.49035930e-06, ...,
        -3.94294421e-06,  1.33008028e-06,  1.07312412e-05],
       [ 2.00435715e-06,  1.32098200e-05, -3.26187487e-07, ...,
         3.29564050e-06, -3.15254133e-06, -1.21864728e-06],
       [-1.49035930e-06, -3.26187487e-07,  3.96019250e-06, ...,
        -1.83411592e-06,  1.03087964e-06,  1.47040857e-07],
       ...,
       [-3.94294421e-06,  3.29564050e-06, -1.83411592e-06, ...,
         1.37027701e-05, -1.16586174e-06, -8.48390331e-06],
       [ 1.33008028e-06, -3.15254133e-06,  1.03087964e-06, ...,
        -1.16586174e-06,  2.18255769e-05,  1.38017403e-06],
       [ 1.07312412e-05, -1.21864728e-06,  1.47040857e-07, ...,
        -8.48390331e-06,  1.38017403e-06,  1.50176981e-05]],
      shape=(61, 61)), 'k0': 57}"
full panel,5647,1972,2024,best_iv,"{'F_kp': 2.0355165284193775, 'F_lee': 78.94525815626154, 'rf_R2': np.float64(0.0641718446891506)}"
full panel,5647,1972,2024,SAR,"{'rho': -0.03321919253585513, 'se_rho': 0.3255542365339038, 'F': 2.0355165284193775}"
full panel,5647,1972,2024,SAR_lee,"{'rho': 0.3325979495928804, 'se_rho': 0.21769410986386376, 'F': 78.94525815626154}"
full panel,5647,1972,2024,SAC,"{'rho': -0.07844058737020485, 'se_rho': 0.31441333375284325, 'lambda': 0.0861434279363076}"
full panel,5647,1972,2024,SAR_lee_ci,"{'lo': 0.1533, 'hi': 0.574, 'n_boot': 226}"
pre-2005,3323,1972,2005,SEM,"{'lambda': 0.06498070392208012, 'beta_ylag': np.float64(-0.02070772766154573), 'se_ylag': np.float64(0.004892727904133725)}"
pre-2005,3323,1972,2005,SDEM,"{'lambda': 0.06254097550770756, 'theta': array([ 0.00750831, -0.00143546,  0.00392146, -0.00980246]), 'se_theta': array([0.00892688, 0.00542932, 0.00706227, 0.00627755]), 'beta': array([-0.0265819 , -0.02270532, -0.00148738,  0.00372966, -0.00453844,
       -0.00814816,  0.03600258,  0.0370173 ,  0.02161268,  0.02181735,
        0.03121275,  0.04931119,  0.05502053,  0.01000691,  0.02193791,
        0.03896836,  0.04374403,  0.05630355,  0.05661473,  0.04373056,
        0.04673729,  0.04251722,  0.2180182 ,  0.12008169,  0.09795635,
        0.05864438,  0.04452045,  0.04036014,  0.04496096,  0.03438313,
        0.04446091,  0.04149878,  0.06201904,  0.03595126,  0.04051214,
        0.04605038,  0.03896924,  0.03940894]), 'V': array([[ 9.55762939e-05,  5.49647267e-06, -2.34293451e-07, ...,
        -1.09765796e-05,  3.23939721e-06,  2.41218969e-05],
       [ 5.49647267e-06,  2.71824453e-05, -1.43405239e-06, ...,
         2.96485522e-06, -5.84173038e-06,  4.34629346e-07],
       [-2.34293451e-07, -1.43405239e-06,  8.32462897e-06, ...,
        -3.52081322e-06,  2.00125289e-06,  1.48746486e-06],
       ...,
       [-1.09765796e-05,  2.96485522e-06, -3.52081322e-06, ...,
         2.94774688e-05,  3.17249324e-06, -1.82413565e-05],
       [ 3.23939721e-06, -5.84173038e-06,  2.00125289e-06, ...,
         3.17249324e-06,  4.98756916e-05,  4.91414614e-06],
       [ 2.41218969e-05,  4.34629346e-07,  1.48746486e-06, ...,
        -1.82413565e-05,  4.91414614e-06,  3.94076584e-05]],
      shape=(42, 42)), 'k0': 38}"
pre-2005,3323,1972,2005,best_iv,"{'F_kp': 3.229747471418128, 'F_lee': 59.221839816150776, 'rf_R2': np.float64(0.07996687844694128)}"
