model,param,est,ci_low,ci_high,note
SEM,lambda,0.054,-0.0161,0.1115,
SDEM,lambda,0.0526,-0.0169,0.1087,
SAC,lambda,0.0859,-0.4539,0.6574,
SAR,rho,-0.0332,-0.741,0.5133,"Kelejian-Prucha lags, F 2.0"
SAR_lee,rho,0.3725,-0.6673,0.5963,"Lee best instrument, F 92.5"
SAC,rho,-0.0783,-0.8821,0.79,generalised spatial 2SLS
SDEM,theta_W.y_lag,0.0051,-0.0061,0.0177,
SDEM,theta_W.gdp_pc,0.0005,-0.0069,0.0091,
SDEM,theta_W.urbanization,-0.0008,-0.0086,0.0084,
SDEM,theta_W.trade_openness,-0.0068,-0.0157,0.0003,
instrument strength,"first-stage F, Kelejian-Prucha lags",2.04,,,cluster-robust
instrument strength,"first-stage F, Lee best instrument",92.53,,,strongest available instrument for this model
instrument strength,reduced-form R2 of the outcome on X,0.0812,,,bounds how strong any instrument built from X can be
common factor,theta + rho*beta (lagged factor),0.007,-0.0145,0.0291,zero is the Durbin common-factor restriction
