space,model,auc_roc,auc_pr,prec_top10,n,n_pos
BASE,rf,0.7035,0.1813,0.2176,1136,116
BASE,hgb,0.6461,0.1652,0.2118,1136,116
BASE,lr,0.6251,0.1664,0.1706,1136,116
BASE,rank-mean ens,0.7086,0.1942,0.2353,1136,116
TRAJ15,rf,0.6572,0.143,0.1647,1136,116
TRAJ15,hgb,0.6403,0.1458,0.1824,1136,116
TRAJ15,lr,0.5977,0.1801,0.1941,1136,116
TRAJ15,rank-mean ens,0.7009,0.2105,0.2059,1136,116
BASE+TRAJ15,rf,0.6949,0.1736,0.2118,1136,116
BASE+TRAJ15,hgb,0.6666,0.1713,0.2294,1136,116
BASE+TRAJ15,lr,0.6678,0.1953,0.2059,1136,116
BASE+TRAJ15,rank-mean ens,0.7395,0.26,0.2706,1136,116
delta TRAJ15 - BASE,rank-mean ens,-0.0073,0.0147,,1136,116
delta BASE+TRAJ15 - BASE,rank-mean ens,0.0319,0.0582,,1136,116
