indicator,factor_1,factor_2,factor_3,factor_4
v2x_polyarchy,0.9102198108855101,0.33681167201150874,0.12231430217810763,0.01020208738827084
v2x_libdem,0.877204101671232,0.43602939431444676,0.020359385834739827,0.002454604914899952
v2x_partipdem,0.8781359063090746,0.4042892138518607,0.05260198615470024,0.09111957159603938
v2x_delibdem,0.8909279320315312,0.39474785583055183,0.035125354518444285,0.017311605589683504
v2x_egaldem,0.8038548146915904,0.5557790548577906,0.06376047185573411,0.028157340982067482
v2x_api,0.9432503430349846,0.1907051075678042,0.24409980798820807,-0.01060903336333574
v2x_mpi,0.8364062425673633,0.4461416638146347,0.010930866776656563,0.027605753066048976
v2x_freexp_altinf,0.98421402019528,0.09314514793945489,0.07388486294913521,-0.007595609661043747
v2x_frassoc_thick,0.9610308464716693,0.06499949266200467,0.14916162010083,-0.02631564557821841
v2x_suffr,0.19471142036461997,-0.022952960832952896,0.4607627039965724,0.048262168997567356
v2xel_frefair,0.7989918112652602,0.45802131544271535,0.14521015701232723,-0.034835494767471914
v2x_elecoff,0.5271050066548397,-0.0037043044763864774,0.5620170151911212,0.03869385548604201
v2x_liberal,0.9083692928317739,0.33499745456267943,0.04819761833998712,-0.05066596205147851
v2xcl_rol,0.886329106566147,0.3269493950015014,0.11432242557208179,0.028278218171088238
v2x_jucon,0.8088872814299948,0.35658589916062683,-0.07584675768805839,-0.1041536236178226
v2xlg_legcon,0.8659638913881914,0.23602234209386636,-0.0365835575533911,-0.04891866217390336
v2x_partip,0.8603821938417242,0.22350186521773602,0.15164510627374486,0.12552027854020323
v2x_cspart,0.931953224388389,0.12869981040961925,0.06333610396412373,0.014101211415354356
v2xdd_dd,0.1685973276897616,0.16247770324299735,0.10759499434024655,0.6951970089203606
v2xel_locelec,0.6818960144076099,0.2415170105594846,0.176708797685089,-0.008958782904884721
v2xel_regelec,0.48976851887416667,0.1703866838310254,0.0196721727909993,0.07430292257982647
v2xdl_delib,0.8962995987416305,0.22470685947613175,0.07799486642103298,-0.02730068236437346
v2x_egal,0.6040624602939352,0.68210894003983,0.19278353526799977,0.02497754489020674
v2xeg_eqprotec,0.5906335343968171,0.5452625942732783,0.17679233336103412,0.04931061558471081
v2xeg_eqaccess,0.6702096046817139,0.4965289756327815,0.16088083147190047,-0.00010684349855445696
v2xeg_eqdr,0.3961529470146563,0.7791038281828695,0.18831819569916908,0.0137285667542269
v2elcomvot,0.03635284578992016,0.06141599121626677,0.034698598760493804,0.1237641409532472
v2elsuffrage,0.19471092843301924,-0.02295349933352664,0.46076264551091023,0.04826190191655988
v2asuffrage,0.3337185376339237,0.14237924118253936,0.7402123911089458,-0.03174761188682998
v2fsuffrage,0.33858678452166746,0.14219553568070112,0.7425652862216994,-0.029341094637813286
v2msuffrage,0.33207473143633376,0.1424373386340871,0.7357785255391165,-0.03251372762371085
v2eldonate,0.6229359421678909,0.17824048856307645,0.12747054060222354,-0.012289032697505673
v2elpubfin,0.38090650270457155,0.39827933251894154,0.24099276875662193,0.015141854223412687
v2elembaut,0.8996667161829646,0.2449915933871172,-0.015316655761450321,-0.023273306951076937
v2elembcap,0.5940840492607775,0.5858843675509275,0.2308000592887872,0.007753432398219684
v2elmulpar,0.8675044647167207,0.02463342673850727,0.03845949985543209,-0.0005925143043711695
v2elrgstry,0.6663212397463303,0.45720829595270684,0.06961311406010001,-0.011407887720257009
