country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_truedom_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_truedom_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_truedom_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_truedom_3,nscm_resid_full_4,nscm_resid_domestic_4,nscm_resid_truedom_4
AFG,1990,-1.1001423e-10,-1.1232859e-06,-7.844707e-12,-3.0175136e-09,-1.2291774e-06,-1.1105653e-09,-0.0003454902,-0.019656029,-0.0018963347,0.004264295,0.027710855,0.0064221025,-0.0039187847,-0.008052449,-0.004525711
ALB,1990,-8.432166e-12,-5.027337e-07,-1.6122852e-13,-3.3599686e-12,-1.3492753e-07,-1.4574727e-14,-7.2461006e-08,-0.0009778556,-4.0912692e-08,-0.0043005515,-0.15141548,-0.00026121124,0.0043005943,0.152394,0.00026124716
ARE,1990,-2.3609722e-08,-0.0004737636,-7.0284084e-10,-6.2339145e-10,-6.97832e-07,-2.0830146e-09,-5.124474e-05,-0.00508535,-0.00028453756,0.104671896,0.16374665,0.039688766,-0.104620665,-0.15818682,-0.039404303
ARG,1990,-0.0008701681,-0.023504118,-0.00019939338,0.001874268,0.030646265,0.00029319525,-0.0010036402,-0.007137809,-9.381164e-05,-4.7123748e-07,-4.1245976e-06,-5.9921303e-09,-1.9493504e-08,-1.9582683e-07,-2.6968032e-09
ARM,1990,-2.8226893e-06,-0.0039725327,-7.728808e-06,-0.0010592513,-0.034933895,-0.008302816,-0.57545453,-0.7682156,-0.92905194,-0.422128,-0.18078782,-0.062356982,-0.0013554052,-0.0120901195,-0.00028056567
AUS,1990,1.4543533e-05,0.0019108653,0.00016224384,-1.3310611e-05,-0.001846663,-0.00016175596,-4.5492794e-07,-4.8657912e-05,-2.1788107e-07,-7.9293756e-08,-1.5290659e-06,-3.798933e-08,-7.3197964e-07,-1.4059608e-05,-2.5008958e-07
AZE,1990,-3.174011e-06,-0.003942219,-7.728808e-06,-0.00119782,-0.035836972,-0.008302816,-0.61277634,-0.7655946,-0.92905194,-0.3847094,-0.18214464,-0.062356982,-0.0013133347,-0.0124815265,-0.00028056567
BDI,1990,-8.730694e-08,-0.00016796475,-1.7315758e-08,-1.4438338e-07,-1.5023196e-05,-4.760744e-07,-0.0033700098,-0.03461125,-0.010265188,0.01226306,0.053080082,0.017540812,-0.008892829,-0.018285887,-0.0072751604
BEL,1990,2.5987625e-05,0.001621604,0.00023037195,-2.1014112e-05,-0.0014579676,-0.00022986969,-2.6192258e-06,-0.00014873168,-2.5726226e-07,-3.6016434e-07,-2.6031726e-06,-3.2690078e-08,-2.0325654e-06,-1.2235064e-05,-2.9519074e-07
BEN,1990,-0.00058014574,-0.021527834,-1.2771281e-05,-0.16853893,-0.31345585,-0.03821563,0.08145726,0.25808185,-0.03157139,0.08767629,0.077001646,0.069837585,-1.4384085e-05,-9.983032e-05,-3.7702997e-05
BFA,1990,-8.035544e-06,-0.0012047573,-2.4921708e-06,-0.0001380499,-0.0008966227,-0.0012334901,0.23130119,0.3594976,0.019653916,-0.22925723,-0.34749734,-0.017948717,-0.0018979302,-0.00989895,-0.0004691962
BGD,1990,-1.4491144e-08,-2.0242049e-05,-7.322616e-09,-0.00038925427,-0.007905271,-0.0008272395,0.029996812,0.08930665,0.018033385,-0.029603286,-0.08124099,-0.017203275,-4.248349e-06,-0.0001402224,-2.7744986e-06
BGR,1990,-0.028288092,-0.07543145,-0.00026671018,-0.6209973,-0.6146393,-0.011058536,-0.34949142,-0.309255,-0.95985186,-0.0010637265,-0.00062750874,-0.020666353,0.99984056,0.99995327,0.9918434
BHR,1990,-3.742745e-09,-5.769771e-05,-7.54156e-11,-2.4363331e-09,-1.1602291e-06,-1.2092646e-09,-0.00011776615,-0.0071515176,-0.0008310672,0.0341112,0.053975403,0.012306869,-0.033993483,-0.04676509,-0.011475778
BIH,1990,-2.450782e-06,-0.0040063923,-7.728808e-06,-0.00085478765,-0.037398085,-0.008302816,-0.48122317,-0.75886714,-0.92905194,-0.5161796,-0.18628184,-0.062356982,-0.0017400722,-0.013446501,-0.00028056567
BLR,1990,-2.937634e-06,-0.0039812024,-7.728808e-06,-0.0009482673,-0.029214699,-0.008302816,-0.60253733,-0.77103144,-0.92905194,-0.39524934,-0.18298239,-0.062356982,-0.0012620682,-0.012790143,-0.00028056567
BOL,1990,-8.108652e-06,-0.0009718635,-7.955825e-06,0.36644214,0.3866881,0.17740828,-0.36635035,-0.38498887,-0.1773686,-8.353862e-05,-0.0007240476,-3.14057e-05,-1.5688735e-07,-3.335019e-06,-3.2810283e-07
BRA,1990,-0.00026812847,-0.010722744,-0.000113958835,0.001251936,0.018009245,0.0002169013,-0.0009833954,-0.007281047,-0.00010299166,-3.334493e-07,-5.255753e-06,-4.7731166e-09,-9.170498e-09,-1.9649421e-07,-1.7225962e-09
BTN,1990,-1.559879e-05,-0.008789925,-8.2278825e-07,-1.1768818e-06,-7.120797e-05,-5.3967315e-06,-0.008948027,-0.04747923,-0.029572958,0.020174563,0.13787466,0.039469123,-0.011209759,-0.08153425,-0.009889999
BWA,1990,-0.1001829,-0.2606484,-0.023114825,0.16769654,0.39487082,0.03670174,-0.06672855,-0.12388329,-0.012599528,-0.00067543995,-0.008142722,-0.0008574489,-0.00010963897,-0.0021963199,-0.00012986374
CAF,1990,-2.0377184e-08,-1.929157e-05,-2.096739e-09,-4.7371446e-05,-0.0015331901,-4.764428e-05,0.28112528,0.1121282,-0.03170848,-0.28076652,-0.10864332,0.031805366,-0.00031145208,-0.0019324713,-4.9307382e-05
CAN,1990,6.484985e-05,0.0027460456,0.0007414222,-5.1789786e-05,-0.0023781753,-0.00073877606,-8.967759e-06,-0.00034577106,-1.7656292e-06,-9.2563306e-07,-5.7189777e-06,-1.6355858e-07,-3.1972143e-06,-1.6292519e-05,-7.465565e-07
